"","Avg.Egg","Avg.2cell","Avg.16cell","Avg.Morula","Avg.Blastula","Avg.Gastrula","Avg.Prism","Avg.Pluteus"
"C00189",-0.215909693333333,-0.0880861466666667,-0.196843576666667,-0.284329966666667,-0.0208557566666667,0.216953703333333,0.26686009,0.322211336666667
"C00191",-0.0587806133333333,-0.0449296266666667,-0.07719617,-0.0842770066666667,0.0420260766666667,0.0663261933333333,0.0810558066666667,0.0757753366666667
"C00192",-0.586979696666667,-0.150889346666667,-0.655345963333333,-0.893404793333333,-0.335851926666667,0.805484423333333,1.06894089666667,0.748046406666667
"C00199",-0.0860044966666667,-0.07438801,0.0810914866666667,0.133188103333333,-0.0155283833333333,-0.03223129,0.00392839333333333,-0.0100558066666667
"C00209",-0.00531109666666668,0.193412406666667,0.0120425233333333,-0.328830336666667,-0.25288344,-0.250911956666667,0.42944982,0.20303208
"C00212",-0.196577661,-0.195352801,-0.118785392,0.02255188,-0.0589751116666667,0.104254977333333,0.253456696333333,0.189427412
"C00267",0.0371931373333333,-0.0518094593333333,-0.0557330271666667,-0.0498036578333333,-0.0965928578333333,0.478139204333333,-0.128932044166667,-0.132461298333333
"C00242",-0.0408449966666667,-0.0300675866666667,-0.0510721133333333,-0.0546852133333333,-0.0469889466666667,0.00798616666666667,0.157760453333333,0.0579122266666667
"C00249",-0.698771493333333,-0.393228206666667,-0.844540026666667,-1.04342855666667,-0.605531923333333,0.781265623333333,1.27317119333333,1.53106338333333
"C00253",0.202950177,0.331442721666667,-0.064458243,-0.382666461666667,0.136069653666667,-0.0330116526666667,-0.000443676000000013,-0.189882518666667
"C00258",-0.0216241203333333,-0.0135275186666667,-0.047996141,-0.056788322,-0.0809759473333333,-0.00757395366666667,0.042049484,0.186436519333333
"C00262",-0.0133667272666667,-0.0204214183,0.00298237493333333,-0.0167287918333333,-0.00916917453333333,-0.0198432971,0.0967757452333333,-0.0202287112333333
"C00315",-0.116758846666667,-0.108618735666667,-0.117139788333333,-0.0770515426666667,0.008217161,0.105299038,0.112048077666667,0.194004637
"C00329",-0.0141880146666667,-0.0108272013333333,0.015364096,-0.0133648763333333,-0.0162806866666667,0.0471074636666667,-0.00395884066666667,-0.003851941
"C00334",0.097953413,-0.034941117,0.072291952,-0.0554867416666667,-0.079587079,-0.0537634323333333,0.0341471336666667,0.019385871
"C00346",0.0660727354666667,0.0133233132,-0.0338843337666667,-0.0217516116333333,-0.0411285273666667,-0.00225565576666667,0.015835022,0.00378905786666667
"C00380",0.21103852,0.0842449566666667,0.152334566666667,0.107573093333333,-0.01063267,-0.10310934,-0.229586416666667,-0.2118627
"C00392",-0.146032103333333,-0.137158593333333,-0.12183381,-0.113336883333333,-0.170056446666667,0.98453811,-0.142201056666667,-0.1539192
"C00398",0.34128376,-0.0571692496666667,0.0252308676666667,-0.00384116733333333,-0.0717672726666667,-0.0832584676666667,-0.0717314273333333,-0.0787470433333333
"C00407",-1.14490115666667,-1.55766988666667,-0.90991137,1.53689565666667,1.37403719333333,0.13281468,0.436054866666667,0.132680016666667
"C00431",0.111621005333333,0.070420473,0.0528856996666667,0.02542516,-0.037669563,-0.0544634493333333,-0.0536151936666667,-0.114604132333333
