"","Avg.Egg","Avg.2cell","Avg.16cell","Avg.Morula","Avg.Blastula","Avg.Gastrula","Avg.Prism","Avg.Pluteus"
"100888488",0,-0.226305609284333,-0.471953578336557,-0.212765957446808,-0.526112185686654,-1,-0.992263056092843,-0.286266924564797
"100888493",0,0.123560209424084,0,0.081675392670157,0.221989528795812,-0.203141361256544,0.142408376963351,0.796858638743456
"100888546",0,0.0548446069469836,-0.00548446069469836,-0.010054844606947,-0.107861060329068,-0.0694698354661791,-0.030164533820841,0.892138939670932
"100888559",0,0.0804597701149426,-0.0268199233716475,-0.0670498084291186,-0.233716475095785,-0.381226053639847,-0.666666666666667,-0.919540229885057
"100888568",0,-0.506410256410256,0.0705128205128199,-0.147435897435897,-0.92948717948718,-0.25,-0.858974358974359,-0.423076923076924
"100888576",0,0.0400381315538608,0.000953288846520496,0.117731172545281,0.0510009532888466,1,0.67254528122021,0.839370829361296
"100888578",0,0.216890595009597,0.153550863723609,0.644913627639155,1,0.424184261036468,0.36468330134357,0.397312859884837
"100888621",0,-0.0087463556851312,-0.153061224489796,0.0597667638483967,-0.214285714285714,-0.693877551020408,-0.897959183673469,-0.940233236151603
"100888669",0,-0.333333333333333,-0.13034188034188,-0.482905982905983,-0.341880341880342,0.517094017094017,-0.465811965811966,-0.132478632478633
"100888705",0,-0.213223140495868,0.307438016528926,0.00330578512396694,0.0578512396694217,-0.692561983471074,0.143801652892562,-0.345454545454545
"100888750",0,-0.326576576576577,-0.297297297297297,0.0923423423423422,-0.502252252252252,-0.0022522522522525,-0.0135135135135135,0.497747747747748
"100888771",0,0.357777777777778,0.206666666666667,0.0644444444444442,0.188888888888889,-0.0222222222222222,-0.277777777777778,-0.642222222222222
"100888848",0,0.332258064516129,0.52258064516129,0.364516129032258,0.556451612903226,1,0.329032258064516,0.564516129032258
"100888854",0,0.414634146341464,0.182926829268293,-0.0396341463414635,0.560975609756098,0.5,0.960365853658537,0.841463414634147
"100888862",0,0.308641975308642,0.0617283950617284,-0.195473251028806,0.804526748971193,0.724279835390946,0.627572016460905,0.127572016460905
"100888867",0,0.210950080515298,-0.0858829844337091,0.123993558776167,-0.0617283950617284,-0.0155662909286098,0.209339774557166,0.914117015566291
"100888929",0,-0.0608519269776875,0.0507099391480731,0.103448275862069,0.332657200811359,0.0507099391480731,-0.0182555780933063,0.939148073022313
"100888952",0,-0.317647058823529,-0.461176470588236,-0.614117647058824,-1,-0.677647058823529,-0.503529411764706,-0.967058823529412
"100889031",0,0.328611898016997,0.0113314447592068,-0.524079320113315,-0.246458923512748,0.175637393767705,-0.597733711048159,-0.671388101983003
"100889050",0,0.776699029126214,0.215533980582524,0.553398058252427,0.287378640776699,0.32621359223301,1,0.877669902912621
"100889068",0,-0.0573248407643313,0.114649681528662,0.0573248407643313,-0.0764331210191084,0.681528662420383,0.777070063694267,0.923566878980892
"100889073",0,0.634146341463415,-0.365853658536585,-0.227642276422764,0.365853658536586,0.585365853658537,0.609756097560977,0.0975609756097563
"100889087",0,-0.0508130081300813,-0.024390243902439,0.0142276422764228,0.109756097560976,0.0589430894308944,0.949186991869919,0.00609756097560976
"100889091",0,0.238482384823848,-0.200542005420054,-0.224932249322493,0.265582655826558,0.21680216802168,0.75609756097561,0.775067750677507
"100889092",0,-0.11,-0.07,-0.02,-0.0550000000000006,-0.31,-1,-0.625
"100889120",0,-0.1875,0.416666666666667,0.106060606060606,0.248106060606061,0.59469696969697,0.393939393939394,0.8125
"100889127",0,0.177820267686425,-0.135755258126195,-0.118546845124283,0.418738049713193,-0.206500956022945,0.544933078393882,0.793499043977055
"100889160",0,0.611992945326279,0.400352733686067,0.541446208112875,0.8994708994709,0.433862433862434,1,0.675485008818342
"100889186",0,0.00827814569536425,0.100993377483444,0.162251655629139,0.235099337748344,0.132450331125828,0.172185430463576,1
