"","GSEA.Mic.m.NM"
"100889387",0.100021144961382
"100889393",-0.293844538402459
"100889410",0.542160648058673
"100889414",0.175590794720081
"100889415",0.575233550015403
"100889424",-0.425377977602249
"100889432",0.347597024385255
"100889439",0.306096862947555
"100889464",0.42653497984804
"100889470",-0.773601134628696
"100889472",0.130132089511108
"100889509",-0.770932333290978
"100889523",0.62609029871878
"100889538",0.55751837383693
"100889551",1.6436958256167
"100889553",0.995321904784479
"100889564",-0.865537103251659
"100889566",0.827453870020965
"100889570",-0.428378991235684
"100889574",-0.259993364696231
"100889590",0.488531178747479
"100889596",-0.00610712342472228
"100889626",0.378923926153579
"100889646",1.26976848883713
"100889686",0.365448348000383
"100889715",-0.196147820145823
"100889723",-1.31707172076353
"100889741",0.99295055824285
"100889752",0.160761120228642
"100889756",-0.152766625138651
"100889761",0.467023071809709
"100889772",1.04941262405476
"100889787",-0.159805328209435
"100889828",0.779520245222293
"100889833",0.610466699810357
"100889839",0.206393898284199
"100889845",0.446278620907536
"100889849",0.43823818638008
"100889865",-0.492416993080596
"100889866",-0.0132320010468529
"100889891",0.126922866370591
"100889901",0.60815005545066
"100889941",-0.0877989395262263
"100889952",1.11827488585852
"100889956",0.331845742289977
"100889974",-0.608431870104538
"100889988",-0.0019624395746562
"100890009",-1.26373220141278
"100890029",0.6585981652003
"100890040",1.27872950868586
"100890060",0.469817160915702
"100890076",0.676790179931089
"100890099",-0.493589713332596
"100890106",-0.801135153582392
"100890155",0.588472605537871
"100890176",1.72295454575078
"100890194",0.663829386564522
"100890214",0.380193077063622
"100890222",0.154927862084324
"100890232",-0.206399355753572
"100890252",0.0401869944963152
"100890273",-0.287114064851674
"100890275",0.33966207973795
"100890285",-0.484332678437677
"100890292",0.073125602936013
"100890300",-0.0411245871885211
"100890302",-0.731618985693508
"100890324",-0.677841154323937
"100890336",0.0917368870767989
"100890340",-0.100698071022937
"100890362",0.0885165523343169
"100890398",1.92703540735902
"100890399",-1.42480167030614
"100890400",-0.0112538752411127
"100890417",-0.132019714380079
"100890421",-1.34791068876014
"100890451",-0.562347501401735
"100890479",0.567855068243106
