"","Class.L3","V1"
"1910","GPCRRhodopsin_All","ECB-GENEPAGE-23153612"
"1911","Metalloprotease","ECB-GENEPAGE-23042251"
"1912","Metalloprotease","ECB-GENEPAGE-23042236"
"1913","Metalloprotease","ECB-GENEPAGE-23042230"
"1914","Metalloprotease","ECB-GENEPAGE-23042245"
"1915","Immunity_ReceptorNLR","ECB-GENEPAGE-23034875"
"1916","Immunity_ReceptorNLR","ECB-GENEPAGE-23034879"
"1917","Immunity_ReceptorNLR","ECB-GENEPAGE-23034889"
"1918","Immunity_ReceptorNLR","ECB-GENEPAGE-23034884"
"1919","Immunity_ReceptorNLR","ECB-GENEPAGE-23035105"
"1920","Metabolism_Nucleotide","ECB-GENEPAGE-23137631"
"1921","Nervous_Chemosensory","ECB-GENEPAGE-23064429"
"1922","GPCRRhodopsin_All","ECB-GENEPAGE-23064429"
"1923","Phosphatase_Tyrosine","ECB-GENEPAGE-23176390"
"1924","GPCRRhodopsin_All","ECB-GENEPAGE-23159384"
"1925","Nervous_Chemosensory","ECB-GENEPAGE-23159384"
"1926","Immunity_ReceptorNLR","ECB-GENEPAGE-23106614"
"1927","Kinase_CAMK","ECB-GENEPAGE-23179508"
"1928","Kinase_TKL","ECB-GENEPAGE-23145256"
"1929","TranslationFactor","ECB-GENEPAGE-23116784"
"1930","Kinase_Atypical","ECB-GENEPAGE-23123664"
"1931","Metabolism_SecondaryMetabolites","ECB-GENEPAGE-23146647"
"1932","Defensome_BiotransformationOxidative","ECB-GENEPAGE-23146647"
"1933","Metabolism_AminoAcid","ECB-GENEPAGE-23039985"
"1934","Defensome_BiotransformationOxidative","ECB-GENEPAGE-23162472"
"1935","ZNF","ECB-GENEPAGE-23162499"
"1936","DNAReplication","ECB-GENEPAGE-23162499"
"1937","Defensome_BiotransformationOxidative","ECB-GENEPAGE-23013710"
"1938","Defensome_BiotransformationOxidative","ECB-GENEPAGE-23162486"
"1939","Metabolism_SecondaryMetabolites","ECB-GENEPAGE-23013710"
"1940","Metabolism_SecondaryMetabolites","ECB-GENEPAGE-23162486"
"1941","CalciumToolkit","ECB-GENEPAGE-23191029"
"1942","EggActivation","ECB-GENEPAGE-23191029"
"1943","Nervous_NeurotransmitterRelated","ECB-GENEPAGE-23191029"
"1944","Metabolism_Carbohydrate","ECB-GENEPAGE-23185683"
"1945","Metabolism_InorganicIon","ECB-GENEPAGE-23024280"
"1946","GPCRRhodopsin_All","ECB-GENEPAGE-23024300"
"1947","GPCRRhodopsin_All","ECB-GENEPAGE-23114160"
"1948","CalciumToolkit","ECB-GENEPAGE-23134164"
"1949","Metabolism_InorganicIon","ECB-GENEPAGE-23090745"
"1950","Metabolism_InorganicIon","ECB-GENEPAGE-23193025"
"1951","Immunity_Coagulation_Coagulation","ECB-GENEPAGE-23049383"
"1952","Kinase_Atypical","ECB-GENEPAGE-23096623"
"1953","Signaling_TGFB_SmadInteract","ECB-GENEPAGE-23096623"
"1954","EggActivation","ECB-GENEPAGE-23192748"
"1955","CalciumToolkit","ECB-GENEPAGE-23192748"
"1956","Immunity_TF","ECB-GENEPAGE-23192757"
"1957","TF_Other","ECB-GENEPAGE-23192757"
"1958","Metalloprotease","ECB-GENEPAGE-23042230"
"1959","CalciumToolkit","ECB-GENEPAGE-23168715"
"1960","EggActivation","ECB-GENEPAGE-23168715"
"1961","Signaling_RTK_Ligand","ECB-GENEPAGE-23046408"
"1962","Immunity_Signal","ECB-GENEPAGE-23046408"
"1963","Cytoskeleton_MicrotubuleAssociated","ECB-GENEPAGE-23152364"
"1964","Metabolism_Carbohydrate","ECB-GENEPAGE-23038774"
"1965","Adhesion_ReceptorGPCR","ECB-GENEPAGE-23136659"
"1966","Metabolism_InorganicIon","ECB-GENEPAGE-23036364"
"1967","GTPase_Ras_Rab","ECB-GENEPAGE-23151645"
"1968","TF_bHLH","ECB-GENEPAGE-23160206"
"1969","Metabolism_AminoAcid","ECB-GENEPAGE-23069822"
"1970","Metabolism_SecondaryMetabolites","ECB-GENEPAGE-23093245"
"1971","Defensome_TransporterIon","ECB-GENEPAGE-23093245"
"1972","Defensome_HSP","ECB-GENEPAGE-23143526"
"1973","CalciumToolkit","ECB-GENEPAGE-23143526"
"1974","Cytoskeleton_Regulator","ECB-GENEPAGE-23101326"
"1975","Adhesion_ECMNeural","ECB-GENEPAGE-23133104"
