"","PATHWAY","V1"
"246","spu01100","ECB-GENEPAGE-23098943"
"247","spu00512","ECB-GENEPAGE-23098943"
"248","spu00480","ECB-GENEPAGE-23164489"
"249","spu01100","ECB-GENEPAGE-23164489"
"250","spu02010","ECB-GENEPAGE-23164347"
"251","spu01100","ECB-GENEPAGE-23102254"
"252","spu00330","ECB-GENEPAGE-23102254"
"253","spu00360","ECB-GENEPAGE-23161324"
"254","spu00380","ECB-GENEPAGE-23161324"
"255","spu01100","ECB-GENEPAGE-23161324"
"256","spu00330","ECB-GENEPAGE-23161324"
"257","spu00600","ECB-GENEPAGE-23053361"
"258","spu01100","ECB-GENEPAGE-23053361"
"259","spu00565","ECB-GENEPAGE-23053361"
"260","spu04080","ECB-GENEPAGE-23191023"
"261","spu04080","ECB-GENEPAGE-23177258"
"262","spu00310","ECB-GENEPAGE-23035113"
"263","spu01100","ECB-GENEPAGE-23035113"
"264","spu04120","ECB-GENEPAGE-23135547"
"265","spu04142","ECB-GENEPAGE-23172240"
"266","spu04145","ECB-GENEPAGE-23169596"
"267","spu00030","ECB-GENEPAGE-23155565"
"268","spu01100","ECB-GENEPAGE-23155565"
"269","spu00310","ECB-GENEPAGE-23099855"
"270","spu01100","ECB-GENEPAGE-23099855"
"271","spu01100","ECB-GENEPAGE-23133968"
"272","spu00280","ECB-GENEPAGE-23133968"
"273","spu04142","ECB-GENEPAGE-23056320"
"274","spu00511","ECB-GENEPAGE-23056320"
"275","spu01100","ECB-GENEPAGE-23056320"
"276","spu00600","ECB-GENEPAGE-23056320"
"277","spu01100","ECB-GENEPAGE-23113889"
"278","spu00600","ECB-GENEPAGE-23113889"
"279","spu00565","ECB-GENEPAGE-23113889"
"280","spu04142","ECB-GENEPAGE-23061776"
"281","spu04080","ECB-GENEPAGE-23101320"
"282","spu00565","ECB-GENEPAGE-23109045"
"283","spu00561","ECB-GENEPAGE-23109045"
"284","spu00564","ECB-GENEPAGE-23109045"
"285","spu00600","ECB-GENEPAGE-23109045"
"286","spu01100","ECB-GENEPAGE-23109045"
"287","spu01100","ECB-GENEPAGE-23071413"
"288","spu00100","ECB-GENEPAGE-23071413"
"289","spu04080","ECB-GENEPAGE-23104110"
"290","spu01100","ECB-GENEPAGE-23114583"
"291","spu00563","ECB-GENEPAGE-23114583"
"292","spu00600","ECB-GENEPAGE-23056204"
"293","spu00511","ECB-GENEPAGE-23056204"
"294","spu01100","ECB-GENEPAGE-23056204"
"295","spu04142","ECB-GENEPAGE-23056204"
"296","spu00970","ECB-GENEPAGE-23049444"
"297","spu04144","ECB-GENEPAGE-23144970"
"298","spu00562","ECB-GENEPAGE-23144970"
"299","spu01100","ECB-GENEPAGE-23144970"
"300","spu01100","ECB-GENEPAGE-23088372"
"301","spu00051","ECB-GENEPAGE-23088372"
"302","spu01100","ECB-GENEPAGE-23177287"
